,Année,Clé,Danceabilité,Durée,Energie,Fin du fondu,Fondu de fin,Intensité,Mode,Nom Album,Popularité,Signature Temporelle,Tempo,nom artiste,nom chanson
30,0,5,0.0,116.55791,0.0,0.847,107.845,-20.648,1,b'GLASS_ P.: Violin Concerto / Company / Prelude from Akhnaten',0.0,1,157.236,b'Takuo Yuasa',b'Company: II. --'
31,1961,0,0.0,432.35955,0.0,0.276,416.386,-18.307,0,b'Green Street',0.40920528737344375,4,142.982,b'Grant Green',b'Alone Together (Rudy Van Gelder 24-Bit Mastering) (2002 Digital Remaster)'
32,0,9,0.0,256.15628,0.0,0.348,234.295,-28.076,0,b'The Serpent',0.41173120693403076,4,100.223,b'Harold Budd',b'Wanderer (Album Version)'
33,1970,1,0.0,180.53179,0.0,0.345,171.572,-10.979,1,b'Platinum & Gold Collection',0.40620317895690206,4,123.247,b'Tony Orlando & Dawn',b'Knock Three Times'
34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,b'',0.0,0,0.0,b'',b''
35,1999,10,0.0,246.56934,0.0,0.299,242.149,-6.761,0,b'On The 6',0.4944475740579454,4,125.024,b'Jennifer Lopez',b'Waiting For Tonight'
36,0,6,0.0,305.37098,0.0,0.0,296.606,-9.456,0,b'',0.41877022292019433,4,147.886,b'',b''
37,1998,1,0.0,174.2624,0.0,0.212,164.061,-6.27,1,b'No Place That Far',0.45425375418687053,4,118.202,b'Sara Evans',"b""Cryin' Game"""
38,0,2,0.0,301.66159,0.0,0.491,286.285,-8.464,1,b'Larry & Lee',0.32811126,4,125.538,b'Larry Carlton',b'Crosstown Kids'
39,2003,3,0.0,217.3122,0.0,2.583,199.703,-12.211,1,b'A Thousand Kisses Deep',0.4113983630853868,4,113.005,b'Chris Botti',b'Indian Summer'
40,2005,7,0.0,182.12526,0.0,0.608,176.332,-13.957,1,b'Jazz Original',0.0,7,132.486,b'Pee Wee Russell',b'Sunday'
41,2008,7,0.0,227.082,0.0,0.096,217.577,-8.451,0,b'Midnight Boom',0.47379968337706974,4,118.999,b'The Kills',b'Black Balloon'
42,0,2,0.0,242.6771,0.0,0.0,234.551,-20.114,0,b'This Christmas',0.2971626290774692,4,133.717,b'Paul Adams',b'Oh Come Oh Come Emmanuel'
43,1999,9,0.0,118.83057,0.0,0.327,110.794,-11.287,1,"b""The Best Of Can't You Hear Me Callin' - Bluegrass: 80 Years Of American Music""",0.0,1,138.97,b'Grandpa Jones',b'Mountain Dew'
44,2000,11,0.0,207.09832,0.0,0.0,192.708,-10.23,1,b'Amor Eterno',0.0,4,96.158,b'Roc\xc3\xado D\xc3\xbarcal',b'Infiel'
45,1990,7,0.0,127.08526,0.0,0.317,119.6,-13.916,1,b'Capitol Collectors Series',0.3389254166326959,1,161.812,b'Tennessee Ernie Ford',"b""Kissin' Bug Boogie"""
46,1999,5,0.0,161.04444,0.0,0.469,153.472,-11.09,1,b'His Best',0.39059841602946693,4,117.819,b'Sonny Boy Williamson',b'Ninety Nine'
47,0,2,0.0,217.3122,0.0,0.363,206.965,-12.846,1,b'Unit of Measure',0.0,4,132.419,b'The Tony Rice Unit',b'Beaumont Rag'
48,0,10,0.0,114.49424,0.0,0.154,112.268,-7.233,1,b'Primitive Epic',0.3096319308029547,4,101.95,b'Bobaflex',b'The Predicament'
49,0,0,0.0,396.43383,0.0,0.403,396.434,-7.815,1,b'',0.0,4,137.888,b'',b''
50,2003,11,0.0,244.89751,0.0,0.223,240.663,-4.983,1,b'Rump Shaker',0.38935825980728017,4,100.01,b'Suburban Legends',b'Bright Spring Morning'
51,2006,8,0.0,235.10159,0.0,2.206,226.331,-7.957,1,b'The Biggest Reggae One Drop Anthems 2006',0.3548490869408584,4,160.201,b'Marlon Asher',b'Ganja Farmer'
52,0,11,0.0,263.70567,0.0,2.101,254.346,-29.131,1,b'',0.0,4,103.864,b'',b''
53,1993,9,0.0,176.74404,0.0,0.519,167.259,-5.789,1,b'This Time',0.44001737,3,182.925,b'Dwight Yoakam',b'Pocket Of A Clown (LP Version)'
54,1991,7,0.0,188.62975,0.0,0.584,184.111,-14.88,0,b'Big Band Christmas',0.3431792058951319,4,152.943,b'Benny Goodman',b'Santa Claus Came in the Spring'
55,1987,4,0.0,228.8322,0.0,0.0,218.018,-9.282,0,b'Paid In Full',0.3493144995215585,5,132.019,b'Eric B & Rakim',b'Paid In Full'
56,2009,10,0.0,190.61506,0.0,0.372,180.547,-13.19,1,b'New Favorite',0.3997720439789778,4,169.28,b'Alison Krauss & Union Station',b'The Lucky One'
57,1984,5,0.0,192.80934,0.0,0.287,185.986,-13.519,1,b'The Velvet Frog: The Very Best of Mel Torme',0.0,4,152.043,b'Mel Torm\xc3\xa9',b'Nice Work if You Can Get It'
58,0,5,0.0,225.25342,0.0,0.833,218.239,-23.022,1,b'',0.0,1,131.346,b'',b''
59,1998,2,0.0,259.26485,0.0,0.502,247.432,-16.837,1,b'Coming Home For Christmas',0.4410908069184356,4,129.939,b'Trans-Siberian Orchestra',b'Christmas Canon'
60,0,6,0.0,263.44444,0.0,0.386,250.462,-24.65,0,b'',0.0,4,71.414,b'',b''
61,1991,5,0.0,166.79138,0.0,0.338,157.246,-21.243,1,b'The Missing Years',0.4095900964428313,1,122.623,b'John Prine',b'Everything Is Cool'
62,1990,6,0.0,418.87302,0.0,0.09,401.856,-12.827,0,b'Loveless',0.4197359235473182,4,109.56,b'My Bloody Valentine',b'Soon'
63,0,0,0.0,195.3171,0.0,0.572,180.431,-3.978,1,b'0304',0.45204255,4,95.007,b'Jewel',b'Stand (Album Version)'
64,1991,10,0.0,259.16036,0.0,0.432,244.982,-10.119,1,b'I Wish My Brother George Was Here',0.3269233890483522,4,99.592,b'Del tha Funkee Homosapien',b'Mistadobalina'
65,2005,10,0.0,172.40771,0.0,0.096,167.793,-5.849,0,b'Miasma',0.39221031201060547,3,196.184,b'The Black Dahlia Murder',b'Spite Suicide'
66,0,7,0.0,232.33261,0.0,0.491,221.756,-10.138,1,b'Serie 32: Pedro Fernandez',0.15467109,4,94.029,b'Pedro Fern\xc3\xa1ndez',b'Los Hombres No Deben Llorar'
67,0,0,0.0,539.55873,0.0,0.09,532.126,-8.406,1,b'Ice Caps: Peaks Of Telluride',0.32721156461560885,4,121.144,b'Sam Bush',"b""Same Ol' River (Live)"""
68,2004,7,0.0,232.14975,0.0,0.613,218.134,-9.27,1,b'Gospel Roots - Holiday Edition',0.41436118,3,96.371,b'Aaron Neville',b'Christmas Prayer'
69,1981,2,0.0,180.58404,0.0,0.0,169.97,-14.595,1,b'East Side Story',0.408725,1,137.901,b'Squeeze',"b""Someone Else's Heart"""
70,1969,1,0.0,258.19383,0.0,0.506,246.741,-16.825,1,b'The Best Of Booker T. & The MGs',0.03763641413318213,4,88.316,"b""Booker T. & The MG's""",b'Light My Fire'
71,0,11,0.0,188.76036,0.0,0.392,182.265,-19.293,1,b'',0.36670749361521515,1,87.752,b'',b''
72,1965,4,0.0,125.1522,0.0,0.293,121.04,-8.488,1,b'My Generation - The Very Best Of The Who',0.41926134,4,138.268,b'The Who',"b""I Can't Explain"""
73,2006,0,0.0,158.61506,0.0,0.192,143.354,-20.184,1,b'Christmas - Plain & Simple',0.3162283349872058,1,105.419,b'Michele McLaughlin',b'Away in the Manger'
74,1995,1,0.0,188.682,0.0,0.391,182.137,-16.243,1,b'The Best Of Frank Stokes',0.0,4,120.938,b'Frank Stokes',b'Right Now Blues'
75,0,1,0.0,198.73914,0.0,5.486,192.795,-8.354,1,"b""Number 1's""",0.44654,1,99.737,b'Diana Ross',b'Reflections (2003 Remix)'
76,1977,8,0.0,284.42077,0.0,0.252,275.615,-12.386,1,b'Exodus',0.45384520837973114,1,161.694,b'Bob Marley',b'Waiting In Vain'
77,2002,5,0.0,135.54893,0.0,0.461,127.338,-11.669,1,b'',0.0,4,85.394,b'Four Haven Knights',b'IN MY LONELY ROOM'
78,2000,6,0.0,139.72853,0.0,0.467,133.683,-8.841,1,b'Train To Skaville: Anthology 1966-1975',0.3908609151643284,3,181.137,b'The Ethiopians',b'Fire A Mus Mus Tail'
79,1980,8,0.0,241.84118,0.0,0.688,229.547,-14.138,1,b'Fire House Rock',0.38807123035500335,4,176.395,b'Wailing Souls',b'See Baba Joe'
80,1996,5,0.0,321.48853,0.0,4.319,314.375,-13.635,0,b'Hyperballad',0.4022730865194551,4,135.074,b'Bj\xc3\xb6rk',b'Hyperballad (Radio Edit)'
81,0,11,0.0,217.52118,0.0,0.641,200.371,-5.953,1,b'',0.49587202,5,98.6,b'The Game',b'MY LIFE (Radio Edit)/(CC Cleaner)/(LYRICS!)/(CONTENT!)'
82,1980,9,0.0,280.81587,0.0,0.304,259.773,-10.944,1,b'Wild-Eyed Southern Boys',0.3358357,4,127.711,b'.38 Special',b'Hold On Loosely'
83,0,2,0.0,256.80934,0.0,0.409,246.364,-11.168,1,b'',0.0,3,94.16,b'',b''
84,0,3,0.0,274.62485,0.0,0.084,274.625,-9.298,0,b'',0.0,4,153.589,b'',b''
85,1959,0,0.0,155.92444,0.0,0.328,149.072,-13.076,1,b'The Complete Sarah Vaughan On Mercury Vol.2',0.39889557354767524,1,112.631,b'Sarah Vaughan',b'Lorelei'
86,0,0,0.0,280.21506,0.0,0.334,270.901,-28.811,0,b'Undercurrent',0.41001522179030586,4,43.478,b'Bill Evans',b'I Hear A Rhapsody (Digitally Remastered)'
87,2007,10,0.0,246.80444,0.0,0.322,236.484,-10.432,1,b'Christmas... From The Realms Of Glory',0.4081601902579159,3,100.066,b'Bebo Norman',b'What Child Is This'
88,2006,10,0.0,161.88036,0.0,0.479,152.967,-14.112,0,b'Brasil precisa balan\xc3\xa7ar',0.3381757061415198,4,116.9,b'Rosalia de Souza',b'Ao Amigo Tom'
89,1989,8,0.0,198.19057,0.0,0.38,186.619,-12.136,1,b'Ultimate Waylon Jennings',0.3886077050408241,4,178.486,b'Waylon Jennings',b'Rose In Paradise'
90,0,10,0.0,162.79465,0.0,0.09,157.408,-7.842,0,b'Prime Time Looks A Lot Like Amateur Night',0.3019119368245202,5,140.05,b'Post Stardom Depression',b'The Price Tag On My Soul (Album Version)'
91,2007,0,0.0,191.60771,0.0,0.34,175.224,-12.138,1,b'All The Lost Souls',0.47814594070794936,4,78.383,b'James Blunt',b'One Of The Brightest Stars'
92,2007,0,0.0,308.16608,0.0,5.619,298.382,-16.653,1,b'Deep Still Blue',0.3766666666498077,5,154.854,b'2002',b'Little Angel'
93,2003,5,0.0,245.36771,0.0,0.183,233.906,-8.693,0,b'99 Problems / Dirt Off Your Shoulder',0.4632482,5,109.144,b'Jay-Z',b'Dirt Off Your Shoulder'
94,1998,7,0.0,261.19791,0.0,0.0,256.232,-8.432,1,b'Carnaval De Exitos',0.410880524527843,4,100.002,b'Celia Cruz',b'Cal Y Arena'
95,1999,7,0.0,357.01506,0.0,0.096,354.435,-7.786,1,"b""Movin' Melodies""",0.397932179905614,4,136.18,b'ATB',"b""Movin' Melodies"""
96,0,1,0.0,333.50485,0.0,0.253,319.257,-12.883,0,b'',0.15576372812780662,4,119.553,b'Time',b'Jungle Love (5:27)'
97,1988,4,0.0,256.80934,0.0,0.485,245.267,-15.141,1,b'',0.3574935301835649,3,100.821,b'The Judds',"b""GRANDPA (Tell Me 'Bout The Good Old Days)"""
98,1983,11,0.0,290.84689,0.0,0.268,270.663,-13.068,0,b'Metal Health',0.4204366954874763,4,145.996,b'Quiet Riot',b'Cum On Feel The Noize'
99,2003,1,0.0,342.49098,0.0,0.16,326.351,-4.094,1,b'The Horror',0.4466596343679164,4,93.788,b'RJD2',b'Ghostwriter Remix'
100,2004,3,0.0,179.1473,0.0,0.14,154.953,-21.967,1,b'Montana',0.4092744265205998,3,94.532,b'George Winston',"b'Joy, Hope, and Peace'"
101,2005,10,0.0,173.21751,0.0,0.299,166.325,-3.776,1,b'Real Fine Place',0.45425375418687053,4,137.942,b'Sara Evans',"b""Momma's Night Out"""
102,1978,0,0.0,276.21832,0.0,0.252,269.978,-10.982,1,b'Homenaje A Beny',0.339712162321983,4,132.836,b'Tito Puente',b'Santa Isabel De Las Lajas'
103,1993,5,0.0,262.60853,0.0,0.119,252.668,-8.256,0,b'A Man & His Music',0.3636569305751417,5,125.06,b'H\xc3\xa9ctor Lavoe',b'Abuelita'
104,1997,0,0.0,244.76689,0.0,0.38,229.558,-11.538,0,b'Closer: The Best Of Sarah McLachlan (Deluxe Version)',0.46073136210488524,4,76.21,b'Sarah McLachlan',b'Adia'
105,0,9,0.0,359.3922,0.0,4.046,354.238,-9.852,1,b'',0.3717262180016823,4,127.464,b'',b''
106,2006,1,0.0,286.01424,0.0,0.102,281.931,-8.13,0,b'Mescalito',0.41553187,1,138.101,b'Ryan Bingham',b'Sunrise'
107,1997,2,0.0,172.64281,0.0,0.282,166.603,-10.734,1,b'Foundation Ska',0.4239896583458717,4,126.085,b'The Skatalites',b'King Solomon'
108,0,9,0.0,251.45424,0.0,0.92,239.792,-29.075,1,b'',0.0,1,103.732,b'',b''
109,1998,4,0.0,220.94322,0.0,0.757,209.903,-9.349,1,b'Alabama Song',0.30510974,4,96.898,b'Allison Moorer',b'Pardon Me'
110,0,7,0.0,329.7171,0.0,0.096,316.14,-2.929,1,b'',0.0,5,136.446,b'',b''
111,0,3,0.0,99.18649,0.0,0.636,89.426,-15.18,1,b'Whiskey Before Breakfast',0.2851202883114591,4,136.567,b'Norman Blake',b'Salt River'
112,2007,5,0.0,230.19057,0.0,0.09,227.207,-7.563,1,b'Spiderman Of The Rings',0.40252898176062474,4,160.136,b'Dan Deacon',b'Wooody Wooodpecker'
113,2006,4,0.0,268.87791,0.0,0.113,261.718,-8.712,0,b'Takers and Leavers EP',0.36783580753328665,4,131.344,b'Dr. Dog',"b""Ain't It Strange"""
114,1994,9,0.0,230.84363,0.0,0.0,208.091,-22.277,1,b'Sundown: A Windam Hill Piano Collection',0.3029765545891629,1,95.207,b'John R. Burr',b'For The Asking'
115,1996,0,0.0,144.50893,0.0,0.298,138.553,-9.118,1,b'Fashion Nugget',0.3771232627447595,1,113.204,b'Cake',b'Perhaps_ Perhaps_ Perhaps'
116,1986,11,0.0,197.95546,0.0,0.514,185.26,-14.662,0,b'The Costello Show: King Of America',0.3765744,1,94.801,b'Elvis Costello',"b""Don't Let Me Be Misunderstood"""
117,1991,5,0.0,125.51791,0.0,0.473,119.42,-12.101,1,b'Essential Leo Kottke',0.3160098133131571,4,141.74,b'Leo Kottke',b' Mr. Fonebone'
118,2006,0,0.0,230.55628,0.0,0.148,220.212,-6.152,1,b'Winter Carols',0.3138465446642649,4,124.72,"b""Blackmore's Night""",b'Hark The Herald Angels Sing/Come All Ye Faiththrull'
119,0,11,0.0,357.56363,0.0,0.084,357.564,-7.542,0,b'',0.3244095374998727,4,135.248,b'',b''
120,0,0,0.0,443.81995,0.0,0.495,433.447,-26.938,1,"b'The Complete Mozart Piano Concertos, Vol. Six'",0.0,1,127.529,b'Derek Han',"b'Piano Concerto No. 19 In F Major, K. 459: II. Allegretto'"
121,1975,5,0.0,219.61098,0.0,0.328,205.311,-9.86,1,b'Just Another Way To Say I Love You',0.4509683863517073,1,114.289,b'Barry White',b'What Am I Gonna Do With You'
122,1998,7,0.0,170.50077,0.0,0.09,165.204,-8.661,1,b'Dreams - The Ultimate Corrs Collection [w/bonus track]',0.42984717877531836,4,111.105,b'The Corrs',b'Toss The Feathers'
123,2006,2,0.0,239.75138,0.0,0.131,229.779,-15.353,1,b'Utopia',0.30459884442097895,4,120.009,b'Robert Michaels',b'Fuego'
124,0,2,0.0,180.76689,0.0,0.3,173.952,-25.706,0,b'Christmas Cookies - Jazz Treats For The Holidays',0.0,4,110.687,b'Charles Bertini',b'White Christmas'
125,1967,8,0.0,240.69179,0.0,0.484,227.126,-15.572,1,b'The Dance Of Death & Other Plantation Favorites',0.26539643907644667,4,111.731,b'John Fahey',b'Variations On The Coocoo'
126,0,0,0.0,166.19057,0.0,11.407,150.349,-29.691,0,b'',0.0,4,103.278,b'',b''
127,0,0,0.0,131.73506,0.0,0.543,122.955,-11.143,1,b'Specialty Profiles: Larry Williams',0.30511338165011076,4,120.621,b'Larry Williams',b'Rockin Pneumonia And The Boogie Woogie Flu'
128,0,8,0.0,464.1171,0.0,6.298,442.061,-21.33,1,b'',0.0,7,80.164,b'',b''
129,2006,3,0.0,376.55465,0.0,0.312,357.616,-8.101,1,b'',0.41957174235903816,4,145.929,b'Keith Urban',b'STUPID BOY'
130,0,8,0.0,315.92444,0.0,0.178,312.303,-3.699,1,b'',0.480455273873761,4,190.572,b'',b''
131,2006,4,0.0,230.922,0.0,0.368,216.369,-4.676,1,b'Dangerous Man',0.4549282665391462,3,160.233,b'Trace Adkins',b'High'
132,0,2,0.0,188.89098,0.0,0.473,181.435,-23.555,0,b'Complete Jazz Series 1949',0.43872504743242197,4,78.436,b'Nat King Cole',b'I Get Sentimental Over Nothing (05-20-49)'
133,2005,3,0.0,277.55057,0.0,0.096,260.011,-9.403,0,b'The Dust Of Retreat',0.3651067218591353,7,102.891,"b""Margo And The Nuclear So And So's""",b'Dress Me Like A Clown'
134,2003,9,0.0,183.74485,0.0,0.363,175.293,-13.3,1,b'Somebody Outside',0.4054238621958919,4,108.652,b'Anna Ternheim',"b""I'll Follow You Tonight"""
135,0,1,0.0,230.97424,0.0,0.331,223.521,-11.913,1,b'In Utero',0.64628845,4,113.822,b'Nirvana',b'All Apologies'
136,1996,1,0.0,282.30485,0.0,0.496,276.039,-8.256,1,b'One Wish - The Holiday Album',0.4696487835187687,1,114.717,b'Whitney Houston',b'Joy To The World'
137,1971,11,0.0,266.60526,0.0,11.529,251.797,-17.274,0,b'Aqualung',0.368135916453395,1,124.635,b'Jethro Tull',b'Locomotive Breath'
138,0,9,0.0,173.24363,0.0,0.287,165.123,-9.849,1,b'Run It Red',0.25672556137598607,3,144.719,b'Prince Jammy',b'Chapter Of Money'
139,2006,9,0.0,208.69179,0.0,0.322,202.06,-5.719,1,"b""Now That's What I Call Music! 64""",0.6556720464874198,4,140.015,b'P!nk',b'Who Knew'
140,1996,4,0.0,168.61995,0.0,0.607,168.62,-6.443,1,b'Entangled In Chaos',0.35459734909210483,4,140.488,b'Morbid Angel',b'Blessed Are The Sick (Live)'
141,0,10,0.0,163.91791,0.0,0.125,156.653,-10.695,0,b'Never Leave',0.2987586107297982,4,102.959,b'Tal M. Klein',b'Never Leave'
142,1987,2,0.0,191.68608,0.0,0.465,184.837,-11.191,1,b'By the Sweat of My Brow',0.21158959177081604,3,120.617,b'Hazel Dickens',b'Old and In the Way'
143,2005,7,0.0,178.02404,0.0,0.305,172.495,-15.004,1,b'The Essential Carl Smith  1950-1956',0.3039636449423261,1,113.628,b'Carl Smith',b'I Overlooked An Orchid'
144,2005,0,0.0,137.63873,0.0,0.113,137.639,-16.86,1,b'A Colores (Expanded Edition)',0.3440856786670786,4,167.797,b'Tristeza',b'Abrazo Distante'
145,2003,4,0.0,255.32036,0.0,5.457,226.638,-18.26,0,b'Emotional Landscapes',0.3021798657766135,7,112.535,b'Erik W\xc3\xb8llo',b'Prism'
146,2005,4,0.0,267.15383,0.0,0.543,250.212,-9.226,1,b'Ferocious Mopes',0.38053596484506147,4,140.08,b'Say Hi to Your Mom',b'The Twenty-Second Century'
147,0,7,0.0,187.21914,0.0,0.311,181.063,-10.019,1,b'The Singles Vol. 7: 1970-1972',0.40916798,4,98.257,b'James Brown',b'Hot Pants Pt. 1 (She Got To Use What She Got To Get What She Wants)'
148,2006,6,0.0,265.79546,0.0,0.293,242.718,-5.385,1,b'Small Town Girl',0.6600647743227479,4,129.671,b'Kellie Pickler',b'Small Town Girl'
149,0,3,0.0,168.88118,0.0,0.49,163.445,-11.282,1,b'A Spanier in the Works',0.0,4,128.472,b'Muggsy Spanier & His Dixielandband',"b""It's a Long Long Way to Tipperary"""
150,0,10,0.0,154.72281,0.0,0.084,154.723,-9.911,0,b'Road Rage (LIVE)',0.35260285145006864,1,61.611,b'Great Big Sea',b'Excursion Around The Bay (Live)'
151,0,10,0.0,283.6371,0.0,0.508,275.389,-21.221,1,b'Rumor And Sigh',0.39872640162546213,4,120.21,b'Richard Thompson',b'Vincent Black Lightning'
152,1997,2,0.0,220.21179,0.0,0.137,202.931,-23.987,1,b'The Last Waking Moment',0.37903066010524933,4,143.284,b'David Nevue',b'The Gathering Fields'
153,2001,10,0.0,289.61914,0.0,0.328,276.852,-17.905,1,b'At The Foot Of Canal Street',0.34552286962539414,4,180.376,b'John Boutte',b'At The Foot Of Canal Street'
154,0,6,0.0,304.87465,0.0,2.746,273.845,-5.944,0,b'again and again and again and again ep',0.37951582856500826,4,124.041,b'The Bird and the Bee',b'F-cking Boyfriend (Peaches remix) ()'
155,1998,7,0.0,193.48853,0.0,0.387,187.054,-12.114,1,b'Home Sweet Home',0.2540957133525741,7,121.449,b'Doc & Merle Watson',b'Big Spike Hammer'
156,0,6,0.0,215.37914,0.0,5.422,208.126,-17.779,1,b'',0.0,4,135.784,b'',b''
157,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,b'',0.0,0,0.0,b'',b''
158,1977,7,0.0,133.51138,0.0,0.427,124.836,-10.484,1,b'20 Of Your Favourite Number 1s',0.20751051767589887,1,132.665,b'The Marcels',b'Blue Moon'
159,0,9,0.0,215.92771,0.0,0.084,215.928,-14.109,1,b'Sus Grandes \xc3\x89xitos De La Trova Cubana',0.30332692261893124,1,109.252,b'Pablo Milan\xc3\xa9s',b'Cu\xc3\xa1nto Gan\xc3\xa9 Cu\xc3\xa1nto Perd\xc3\xad'
160,1995,7,0.0,300.47955,0.0,0.078,278.761,-8.058,1,b'Soul Food',0.3858780374255321,4,178.977,b'Goodie Mob',b'The Day After'
161,1990,0,0.0,195.5522,0.0,2.85,178.44,-14.264,1,b'The Essential',0.31183857,4,146.398,b'Taj Mahal',b'Johnny Too Bad'
162,0,0,0.0,242.20689,0.0,0.659,236.832,-6.489,1,b'',0.4178984824606161,4,89.039,b'',b''
163,0,11,0.0,373.83791,0.0,4.551,358.713,-7.134,0,b'',0.0,3,87.357,b'',b''
164,1985,4,0.0,214.54322,0.0,0.09,214.543,-8.985,1,b'Live In Concert 2006',0.7255050359438762,3,81.592,b'Barbra Streisand',b'Somewhere'
165,0,9,0.0,203.33669,0.0,0.269,203.337,-5.731,0,b'When The Trickster Starts A-Pokin ',0.4626262627749738,1,127.791,b'Gogol Bordello',b'Occurance On The Border (Hopping On A Pogo-Gypsy Stick)'
166,0,5,0.0,750.00118,0.0,7.1,750.001,-24.581,1,b'Shaman',0.0,3,103.92,b'Corciolli',b'Esp\xc3\xadrito da Floresta (Forest Spirit)'
